"","pvalues.clust w/sig.=0.05","pvalues.clust w/sig.=0.10","pvalues.clust w/sig.=0.15","pvalues.clust w/sig.=0.25","pvalues.clust w/sig.=0.35","pvalues.clust w/sig.=0.50","pvalues.clust w/sig.=0.65","pvalues.clust w/sig.=0.75","pvalues.clust w/sig.=0.85","pvalues.clust w/sig.=0.95","pvalues.clust w/sig.=1.00"
"IXE2 F2",2,2,4,8,19,15,16,25,31,37,38
"IXE2 F3",1,1,5,11,12,12,14,36,44,55,59
"IXE2 I2",1,1,3,4,11,14,17,24,70,36,37
"IXE3 BI",1,1,1,3,7,25,6,59,11,12,84
"IXE3 F2",2,8,3,1,2,23,30,38,47,58,62
"IXE3 F3",1,2,2,3,9,26,34,43,51,63,67
"IXE3 I2",1,1,1,2,14,22,29,37,46,57,61
"IXE3 I3",1,1,1,1,1,1,1,1,1,3,3
"IXECON API-F",1,1,1,3,7,24,2,39,6,59,63
"IXECON BI",2,2,2,10,3,19,23,31,38,47,50
"IXECON BS",1,1,1,9,13,33,22,30,37,46,49
"IXECON F1",1,1,1,1,8,2,46,55,63,75,79
"IXECON F2",1,1,1,3,4,8,11,60,69,79,85
"IXEESP BF1",1,1,1,1,1,4,1,1,1,1,1
"IXEESP BF2",1,1,1,1,1,1,3,2,2,2,2
"IXEESP BI",1,1,1,1,1,1,1,1,1,1,1
"MAYA B1",1,1,1,7,1,16,26,33,40,50,53
"MAYA B2",1,1,1,1,4,6,49,3,19,38,23
"MAYA B3",1,1,1,1,1,3,28,6,9,10,12
"MAYA D",1,1,2,3,5,1,7,9,66,14,82
"MIFIPC B",1,7,9,4,5,24,50,62,7,81,87
"MONEXCR BEC-1",1,1,2,1,3,2,19,12,3,2,2
"MONEXCR BFC-1",1,1,1,10,7,29,38,1,55,66,70
"MONEXCR BFC-2",1,8,10,14,10,10,47,57,65,76,81
"MONEXCR BFC-3",1,3,3,2,3,3,2,3,8,8,88
"MONEXCR BFD",1,1,1,1,11,1,51,64,71,82,57
"MULTIPC B",1,1,3,7,4,2,4,45,3,7,9
"NAFINDX F1",2,2,4,3,13,4,17,58,28,33,82
"NTE+EMP I1",1,1,1,1,1,4,1,4,23,9,11
"NUMC B0-B",1,1,1,1,1,1,1,1,6,3,3
"NUMRV B0-A",1,1,1,1,1,1,1,1,1,1,1
"NUMRV B3-A",1,1,1,1,1,1,1,1,6,1,1
"NUMRV C0-A",2,2,2,3,2,4,3,2,2,2,2
"OM-RVMX B",2,2,2,13,9,31,16,61,30,35,36
"OM-RVMX E",1,1,1,7,1,15,14,21,27,32,33
"PRINLS2 FA",1,1,1,1,1,1,1,1,1,1,1
"PRINLS2 FB",1,2,2,3,4,6,36,45,19,8,4
"PRINLS2 FC",1,1,1,1,1,1,3,2,2,2,2
"PRINLS2 XC",1,1,1,1,2,4,28,27,6,3,3
"PRINLS3 FA",1,1,1,3,2,6,3,2,53,19,8
"PRINLS3 FB",1,2,2,2,7,5,2,63,8,7,15
"PRINLS3 FC",1,1,1,13,8,3,49,3,70,82,9
