Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.46829,8.46829,8.46829,8.46829,000,8.46829
2015-12-30,8.46306,8.46306,8.46306,8.46306,000,8.46306
2015-12-29,8.45761,8.45761,8.45761,8.45761,000,8.45761
2015-12-28,8.46203,8.46203,8.46203,8.46203,000,8.46203
2015-12-24,8.45196,8.45196,8.45196,8.45196,000,8.45196
2015-12-23,8.44134,8.44134,8.44134,8.44134,000,8.44134
2015-12-22,8.43732,8.43732,8.43732,8.43732,000,8.43732
2015-12-21,8.43661,8.43661,8.43661,8.43661,000,8.43661
2015-12-18,8.44893,8.44893,8.44893,8.44893,000,8.44893
2015-12-17,8.4502,8.4502,8.4502,8.4502,000,8.4502
2015-12-16,8.42634,8.42634,8.42634,8.42634,000,8.42634
2015-12-15,8.42385,8.42385,8.42385,8.42385,000,8.42385
2015-12-14,8.43554,8.43554,8.43554,8.43554,000,8.43554
2015-12-11,8.43526,8.43526,8.43526,8.43526,000,8.43526
2015-12-09,8.44415,8.44415,8.44415,8.44415,000,8.44415
2015-12-08,8.45085,8.45085,8.45085,8.45085,000,8.45085
2015-12-07,8.43406,8.43406,8.43406,8.43406,000,8.43406
2015-12-04,8.44008,8.44008,8.44008,8.44008,000,8.44008
2015-12-03,8.44353,8.44353,8.44353,8.44353,000,8.44353
2015-12-02,8.44188,8.44188,8.44188,8.44188,000,8.44188
2015-12-01,8.43848,8.43848,8.43848,8.43848,000,8.43848
2015-11-30,8.4401,8.4401,8.4401,8.4401,000,8.4401
