Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.46091,1.46091,1.46091,1.46091,000,1.46091
2015-12-30,1.46821,1.46821,1.46821,1.46821,000,1.46821
2015-12-29,1.46677,1.46677,1.46677,1.46677,000,1.46677
2015-12-28,1.4703,1.4703,1.4703,1.4703,000,1.4703
2015-12-24,1.47275,1.47275,1.47275,1.47275,000,1.47275
2015-12-23,1.46477,1.46477,1.46477,1.46477,000,1.46477
2015-12-22,1.4577,1.4577,1.4577,1.4577,000,1.4577
2015-12-21,1.45036,1.45036,1.45036,1.45036,000,1.45036
2015-12-18,1.46916,1.46916,1.46916,1.46916,000,1.46916
2015-12-17,1.46545,1.46545,1.46545,1.46545,000,1.46545
2015-12-16,1.44648,1.44648,1.44648,1.44648,000,1.44648
2015-12-15,1.41515,1.41515,1.41515,1.41515,000,1.41515
2015-12-14,1.41877,1.41877,1.41877,1.41877,000,1.41877
2015-12-11,1.43389,1.43389,1.43389,1.43389,000,1.43389
2015-12-09,1.42839,1.42839,1.42839,1.42839,000,1.42839
2015-12-08,1.44319,1.44319,1.44319,1.44319,000,1.44319
2015-12-07,1.45298,1.45298,1.45298,1.45298,000,1.45298
2015-12-04,1.45438,1.45438,1.45438,1.45438,000,1.45438
2015-12-03,1.46628,1.46628,1.46628,1.46628,000,1.46628
2015-12-02,1.48398,1.48398,1.48398,1.48398,000,1.48398
2015-12-01,1.46506,1.46506,1.46506,1.46506,000,1.46506
2015-11-30,1.49387,1.49387,1.49387,1.49387,000,1.49387
