Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.51044,7.51044,7.51044,7.51044,000,7.51044
2015-12-30,7.57693,7.57693,7.57693,7.57693,000,7.57693
2015-12-29,7.57817,7.57817,7.57817,7.57817,000,7.57817
2015-12-28,7.60074,7.60074,7.60074,7.60074,000,7.60074
2015-12-24,7.61107,7.61107,7.61107,7.61107,000,7.61107
2015-12-23,7.56752,7.56752,7.56752,7.56752,000,7.56752
2015-12-22,7.53852,7.53852,7.53852,7.53852,000,7.53852
2015-12-21,7.50023,7.50023,7.50023,7.50023,000,7.50023
2015-12-18,7.59948,7.59948,7.59948,7.59948,000,7.59948
2015-12-17,7.58413,7.58413,7.58413,7.58413,000,7.58413
2015-12-16,7.49366,7.49366,7.49366,7.49366,000,7.49366
2015-12-15,7.31942,7.31942,7.31942,7.31942,000,7.31942
2015-12-14,7.33654,7.33654,7.33654,7.33654,000,7.33654
2015-12-11,7.41537,7.41537,7.41537,7.41537,000,7.41537
2015-12-09,7.37939,7.37939,7.37939,7.37939,000,7.37939
2015-12-08,7.45262,7.45262,7.45262,7.45262,000,7.45262
2015-12-07,7.51149,7.51149,7.51149,7.51149,000,7.51149
2015-12-04,7.51832,7.51832,7.51832,7.51832,000,7.51832
2015-12-03,7.58623,7.58623,7.58623,7.58623,000,7.58623
2015-12-02,7.68555,7.68555,7.68555,7.68555,000,7.68555
2015-12-01,7.58825,7.58825,7.58825,7.58825,000,7.58825
2015-11-30,7.7311,7.7311,7.7311,7.7311,000,7.7311
