Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.76445,7.76445,7.76445,7.76445,000,7.76445
2015-12-30,7.83307,7.83307,7.83307,7.83307,000,7.83307
2015-12-29,7.83423,7.83423,7.83423,7.83423,000,7.83423
2015-12-28,7.85743,7.85743,7.85743,7.85743,000,7.85743
2015-12-24,7.86761,7.86761,7.86761,7.86761,000,7.86761
2015-12-23,7.82247,7.82247,7.82247,7.82247,000,7.82247
2015-12-22,7.79237,7.79237,7.79237,7.79237,000,7.79237
2015-12-21,7.75266,7.75266,7.75266,7.75266,000,7.75266
2015-12-18,7.85489,7.85489,7.85489,7.85489,000,7.85489
2015-12-17,7.83889,7.83889,7.83889,7.83889,000,7.83889
2015-12-16,7.74526,7.74526,7.74526,7.74526,000,7.74526
2015-12-15,7.56505,7.56505,7.56505,7.56505,000,7.56505
2015-12-14,7.58262,7.58262,7.58262,7.58262,000,7.58262
2015-12-11,7.66373,7.66373,7.66373,7.66373,000,7.66373
2015-12-09,7.6263,7.6263,7.6263,7.6263,000,7.6263
2015-12-08,7.70186,7.70186,7.70186,7.70186,000,7.70186
2015-12-07,7.76258,7.76258,7.76258,7.76258,000,7.76258
2015-12-04,7.76927,7.76927,7.76927,7.76927,000,7.76927
2015-12-03,7.83931,7.83931,7.83931,7.83931,000,7.83931
2015-12-02,7.94183,7.94183,7.94183,7.94183,000,7.94183
2015-12-01,7.84116,7.84116,7.84116,7.84116,000,7.84116
2015-11-30,7.98865,7.98865,7.98865,7.98865,000,7.98865
